"","UTLAname","mean_week_spend","se_week_spend","median_week_spend","se_median_week_spend","sample_tkit","upshift"
"263","Solihull",47.7217894844126,1.52640645123126,38.8015646614771,1.91258728339277,69,2
"264","Somerset",30.4718059056561,1.21576057015739,19.4201637316683,1.52334799440721,97,2
"265","South Gloucestershire",35.5589949727899,2.49937534982046,26.2224602905576,3.13171731332504,29,2
"266","South Tyneside",33.1999276019054,2.45688235880807,27.9089354130018,3.07847359558651,18,2
"267","Southampton",33.3424802042401,1.64458916119904,19.3814588423613,2.06067021898239,58,2
"268","Southend-on-Sea",41.6933415210377,1.16914606153523,31.6734564487169,1.46494001510365,167,2
"269","Southwark",28.924303427941,1.22249732963793,23.1607433225576,1.53178915403633,107,2
"270","St. Helens",45.9020264235972,2.12457167876514,34.54220238077,2.66208831349272,63,2
"271","Staffordshire",34.1968922105111,1.19746612970317,25.1919157261402,1.50042506051807,130,2
"272","Stockport",53.798341980438,4.05304342258998,37.6042597353995,5.07846340850525,38,2
"273","Stockton-on-Tees",44.6767867492166,1.33323056936831,33.5165239575862,1.67053790341849,150,2
"274","Stoke-on-Trent",37.0047380502729,1.60480069335197,30.8809910967434,2.01081526877002,83,2
"275","Suffolk",37.2984018816452,1.16257100500231,29.8153127230061,1.45670146926789,140,2
"276","Sunderland",43.6717816503664,1.88669698922797,38.7242707079681,2.36403132750265,58,2
"277","Surrey",44.814241695295,0.861176876751013,34.1045331498246,1.07905462656902,195,2
"278","Sutton",45.4023543503066,1.89248498300745,49.54864204435,2.37128368370833,27,2
"279","Swindon",40.6256171139335,2.05083665116888,31.3921879866129,2.56969832391461,48,2
"280","Tameside",43.0381287444126,1.45055824271469,33.0324280295667,1.81754947812151,164,2
"281","Telford and Wrekin",37.3781692938411,1.56152873347082,27.9454934704762,1.95659550303893,61,2
"282","Thurrock",49.2020929457189,1.77984691696574,38.8791677908,2.23014818695808,83,2
"283","Torbay",34.8363527281895,1.69335351998876,33.6530474767617,2.12177196054592,9,2
"284","Tower Hamlets",34.843791974544,0.969906788205006,27.2772458775491,1.21529320562087,178,2
"285","Trafford",39.9956917359134,1.45099129718044,36.8531195141905,1.81809209536709,38,2
"286","Wakefield",33.0338768449578,2.01112158142244,26.2252351540804,2.51993534152232,48,2
"287","Walsall",29.1832633024466,2.51706498892001,29.1302455975025,3.15388243111677,25,2
"288","Waltham Forest",35.4001431517097,1.0898865165292,27.3027863699438,1.36562780521109,146,2
"289","Wandsworth",28.9575177051012,1.78270414052955,18.5138894241905,2.23372828808353,65,2
"290","Warrington",NA,0,NA,0,0,2
"291","Warwickshire",41.0487983271583,0.649492676005684,33.5744108728843,0.813814323035122,277,2
"292","West Berkshire",31.2204124538449,2.66466572335022,27.4312096360301,3.33882615135783,13,2
"293","West Sussex",33.5356155459404,0.691375683722904,21.8139848341931,0.866293731704799,300,2
"294","Westminster",34.1494414270026,2.43672688843682,23.5726563,3.05321879121133,37,2
"295","Wigan",48.665157814585,1.5620448108192,37.9202106717884,1.95724214795646,106,2
"296","Wiltshire",39.3349507226362,1.18567759567195,31.1584282685593,1.48565402737695,136,2
"297","Windsor and Maidenhead",32.4683311897882,3.07527788927897,32.3470729214609,3.85332319526655,4,2
"298","Wirral",40.125668388843,1.10957681326832,30.9301255296738,1.39029974702521,139,2
"299","Wokingham",80.0895012031416,4.14138894218436,65.8869785786652,5.18916034455701,2,2
"300","Wolverhampton",44.1198690234934,1.12142513541716,38.6626569120923,1.4051456946777,113,2
"301","Worcestershire",35.2551570709718,0.643540514549384,28.4759529717773,0.806356264730378,401,2
"302","York",41.6261825098934,3.18354278997769,33.6375999772426,3.98897911584205,18,2
"303","Barking and Dagenham",40.0022253144444,0.913828518476817,38.0401902089217,1.14502713365145,141,3
"304","Barnet",40.5196929537678,1.48142086355116,37.6340671817802,1.8562203420296,67,3
"305","Barnsley",29.1315411637886,1.78801463061395,29.6995828070458,2.24038233215927,25,3
"306","Bath and North East Somerset",28.3692413096633,2.04256328382913,21.8653930326143,2.5593317946379,24,3
"307","Bedford",28.8179140923442,2.53111545496146,17.7287055793466,3.1714876650667,13,3
